"year","station","julian"
2022,"O-23",195
2022,"PO2423",195
2022,"P-23",195
2022,"P-22",195
2022,"Q-22",196
2022,"R-22",196
2022,"S-22",196
2022,"S-23",196
2022,"R-23",197
2022,"F-07",161
2022,"E-07",162
2022,"D-07",162
2022,"C-07",163
2022,"B-06",163
2022,"C-06",163
2022,"D-06",163
2022,"E-06",164
2022,"F-06",164
2022,"G-06",164
2022,"H-05",164
2022,"G-05",165
2022,"F-05",165
2022,"E-05",165
2022,"D-05",165
2022,"C-05",166
2022,"B-05",166
2022,"G-04",170
2022,"H-04",170
2022,"I-05",171
2022,"J-05",171
2022,"K-05",171
2022,"L-05",171
2022,"M-05",172
2022,"I-12",153
2022,"H-12",153
2022,"G-12",153
2022,"F-12",154
2022,"E-12",154
2022,"E-11",154
2022,"E-10",154
2022,"D-10",155
2022,"C-09",155
2022,"S-29",206
2022,"T-28",207
2022,"S-28",207
2022,"R-28",207
2022,"Q-28",207
2022,"Q-27",208
2022,"R-27",208
2022,"S-27",208
2022,"T-27",208
2022,"U-27",209
2022,"U-26",209
2022,"T-26",209
2022,"S-26",209
2022,"T-25",210
2022,"Q-23",197
2022,"QP2423",197
2022,"P-24",197
2022,"R-24",198
2022,"S-24",198
2022,"S-25",198
2022,"R-25",198
2022,"Q-26",199
2022,"QP2726",199
2022,"P-26",199
2022,"PO2625",200
2022,"O-26",200
2022,"ON2625",200
2022,"N-26",200
2022,"O-27",201
2022,"N-27",201
2022,"M-26",202
2022,"M-27",202
2022,"M-28",202
2022,"M-29",202
2022,"M-30",203
2022,"N-30",203
2022,"N-29",203
2022,"N-28",203
2022,"PO2726",204
2022,"P-27",204
2022,"P-28",204
2022,"O-28",204
2022,"O-29",204
2022,"P-30",205
2022,"P-29",205
2022,"Q-29",205
2022,"R-29",206
2022,"I-01",178
2022,"J-01",179
2022,"K-01",179
2022,"L-01",179
2022,"H-20",180
2022,"HG2120",180
2022,"G-20",180
2022,"GF2120",180
2022,"G-22",188
2022,"GF2221",188
2022,"F-22",188
2022,"E-21",188
2022,"E-20",189
2022,"E-22",194
2022,"F-23",194
2022,"F-24",195
2022,"G-24",195
2022,"G-25",195
2022,"F-25",195
2022,"G-26",196
2022,"H-26",196
2022,"H-25",196
2022,"I-25",196
2022,"L-24",197
2022,"M-24",197
2022,"N-24",197
2022,"O-24",197
2022,"P-25",198
2022,"QP2625",198
2022,"Q-25",198
2022,"Q-02",181
2022,"Q-18",182
2022,"P-18",182
2022,"D-09",155
2022,"E-09",155
2022,"I-10",156
2022,"J-10",157
2022,"K-10",157
2022,"K-09",157
2022,"L-09",157
2022,"M-07",158
2022,"N-07",158
2022,"N-06",158
2022,"R-26",199
2022,"H-10",156
2022,"L-19",183
2022,"U-28",208
2022,"M-18",184
2022,"N-18",184
2022,"N-19",184
2022,"N-20",184
2022,"H-01",174
2022,"H-19",178
2022,"IH2019",178
2022,"I-19",178
2022,"JI2019",178
2022,"JI1918",179
2022,"J-18",179
2022,"K-18",179
2022,"L-18",179
2022,"M-01",180
2022,"N-01",180
2022,"Q-01",181
2022,"U-25",210
2022,"F-14",151
2022,"G-14",151
2022,"H-14",151
2022,"I-14",152
2022,"J-14",152
2022,"K-14",152
2022,"K-13",152
2022,"J-12",153
2022,"QP2524",198
2022,"PO2524",199
2022,"O-25",199
2022,"ON2524",199
2022,"N-25",199
2022,"M-25",199
2022,"K-24",200
2022,"J-24",200
2022,"J-25",200
2022,"K-25",200
2022,"L-26",201
2022,"L-25",201
2022,"I-26",202
2022,"J-26",202
2022,"K-26",202
2022,"K-27",202
2022,"L-27",203
2022,"L-28",203
2022,"L-29",203
2022,"L-30",203
2022,"L-31",204
2022,"M-31",204
2022,"M-32",204
2022,"N-31",204
2022,"O-30",205
2022,"O-31",205
2022,"P-31",205
2022,"P-32",205
2022,"R-32",206
2022,"R-31",206
2022,"Q-31",207
2022,"Q-30",207
2022,"R-30",207
2022,"S-31",207
2022,"S-30",208
2022,"T-30",208
2022,"T-29",208
2022,"U-29",208
2022,"V-28",209
2022,"V-27",209
2022,"V-26",209
2022,"V-25",209
2022,"P-01",182
2022,"O-01",182
2022,"O-18",183
2022,"O-19",183
2022,"P-19",183
2022,"Q-19",183
2022,"Q-20",184
2022,"Q-21",184
2022,"P-21",184
2022,"P-20",184
2022,"O-20",185
2022,"O-21",185
2022,"N-21",185
2022,"M-21",185
2022,"M-22",186
2022,"L-22",186
2022,"L-21",186
2022,"K-21",186
2022,"K-22",187
2022,"J-22",187
2022,"I-22",187
2022,"H-22",187
2021,"M-19",175
2021,"N-19",175
2021,"O-19",175
2021,"P-19",175
2021,"Q-20",175
2021,"P-21",183
2021,"P-20",175
2021,"O-20",176
2021,"O-21",183
2021,"N-21",183
2021,"N-20",176
2021,"J-02",172
2021,"K-01",172
2021,"L-01",172
2021,"M-01",173
2021,"N-01",173
2021,"O-01",174
2021,"P-01",174
2021,"P-18",175
2021,"Q-18",175
2021,"Q-01",174
2021,"Q-02",174
2021,"O-18",174
2021,"N-18",174
2021,"M-18",174
2021,"L-18",174
2021,"V-27",203
2021,"Q-29",200
2021,"Q-30",200
2021,"R-30",200
2021,"R-27",197
2021,"Q-27",197
2021,"P-27",196
2021,"O-27",196
2021,"N-27",196
2021,"M-27",198
2021,"M-28",198
2021,"M-29",199
2021,"M-30",199
2021,"R-29",200
2021,"S-29",200
2021,"S-28",197
2021,"T-28",201
2021,"U-28",203
2021,"N-29",199
2021,"O-29",199
2021,"P-29",199
2021,"P-30",200
2021,"V-26",202
2021,"U-26",201
2021,"U-25",202
2021,"V-25",202
2021,"Q-19",175
2021,"M-04",164
2021,"B-02",168
2021,"PO2726",187
2021,"P-26",187
2021,"QP2726",187
2021,"Q-26",187
2021,"Q-25",184
2021,"F-19",178
2021,"F-20",178
2021,"F-21",179
2021,"F-25",193
2021,"G-26",196
2021,"H-26",196
2021,"I-26",196
2021,"J-26",197
2021,"K-26",197
2021,"K-27",197
2021,"L-27",197
2021,"L-26",195
2021,"M-26",195
2021,"QP2625",185
2021,"P-25",184
2021,"QP2524",184
2021,"P-24",184
2021,"QP2423",185
2021,"Q-23",185
2021,"R-23",185
2021,"S-22",184
2021,"S-23",185
2021,"R-24",185
2021,"R-25",185
2021,"R-26",187
2021,"S-26",186
2021,"S-27",197
2021,"R-28",197
2021,"Q-28",198
2021,"P-28",198
2021,"O-28",198
2021,"N-28",198
2021,"L-28",198
2021,"L-29",198
2021,"L-30",198
2021,"L-31",199
2021,"M-31",199
2021,"K-18",173
2021,"J-18",173
2021,"J-19",176
2021,"JI2019",177
2021,"J-20",177
2021,"JI2120",182
2021,"I-20",177
2021,"IH2120",180
2021,"H-20",178
2021,"HG2120",180
2021,"H-21",180
2021,"JI2221",182
2021,"I-22",182
2021,"IH2221",182
2021,"I-21",182
2021,"J-21",182
2021,"J-22",182
2021,"K-22",182
2021,"K-21",182
2021,"K-20",176
2021,"K-19",176
2021,"L-19",176
2021,"J-08",157
2021,"J-07",157
2021,"J-09",157
2021,"F-09",156
2021,"G-09",156
2021,"K-09",156
2021,"L-09",156
2021,"L-08",157
2021,"M-08",157
2021,"M-07",162
2021,"N-07",162
2021,"M-32",199
2021,"N-31",200
2021,"N-30",200
2021,"O-30",200
2021,"O-31",200
2021,"P-32",201
2021,"P-31",201
2021,"Q-31",201
2021,"R-31",201
2021,"R-32",201
2021,"S-31",202
2021,"S-30",202
2021,"T-30",202
2021,"T-29",203
2021,"U-29",203
2021,"V-28",203
2021,"I-12",154
2021,"H-12",154
2021,"E-11",155
2021,"F-11",155
2021,"G-11",154
2021,"G-12",154
2021,"G-15",151
2021,"H-16",152
2021,"I-16",152
2021,"J-16",152
2021,"J-15",152
2021,"J-14",153
2021,"K-14",153
2021,"K-13",153
2021,"K-12",153
2021,"J-12",154
2021,"H-11",154
2021,"I-11",154
2021,"J-11",154
2021,"K-11",154
2021,"K-10",156
2021,"J-10",156
2021,"H-10",155
2021,"I-10",155
2021,"G-10",155
2021,"F-10",155
2021,"C-09",156
2021,"D-09",156
2021,"E-09",156
2021,"E-10",155
2021,"I-09",157
2021,"H-09",157
2021,"M-20",176
2021,"L-20",176
2021,"N-26",196
2021,"ON2625",188
2021,"O-26",188
2021,"E-06",160
2021,"D-06",159
2021,"C-06",159
2021,"B-07",160
2021,"C-07",159
2021,"D-07",159
2021,"A-04",166
2021,"B-04",166
2021,"C-04",166
2021,"D-04",166
2021,"E-04",165
2021,"F-04",165
2021,"G-04",165
2021,"H-04",165
2021,"I-04",165
2021,"I-03",165
2021,"I-07",158
2021,"I-08",158
2021,"H-08",158
2021,"G-08",158
2021,"F-08",158
2021,"E-08",158
2021,"D-08",159
2021,"C-08",159
2021,"B-08",160
2021,"Z-05",161
2021,"A-05",161
2021,"A-06",160
2021,"B-06",160
2021,"B-05",161
2021,"C-05",161
2021,"I-06",161
2021,"J-06",161
2021,"J-05",163
2021,"J-04",164
2021,"J-03",164
2021,"C-18",172
2021,"D-18",172
2021,"E-18",172
2021,"F-18",172
2021,"GF1918",178
2021,"G-18",173
2021,"HG1918",177
2021,"H-18",173
2021,"IH1918",177
2021,"I-18",173
2021,"J-23",187
2021,"J-24",190
2021,"I-24",190
2021,"N-06",162
2021,"N-05",162
2021,"N-03",164
2021,"O-03",163
2021,"O-04",163
2021,"N-04",163
2021,"M-05",163
2021,"M-06",162
2021,"L-07",161
2021,"L-06",161
2021,"L-05",163
2021,"K-05",163
2021,"K-06",161
2021,"K-08",157
2021,"K-07",157
2021,"H-05",162
2021,"I-05",163
2021,"K-03",164
2021,"K-04",164
2021,"L-04",164
2021,"L-03",164
2021,"M-03",164
2021,"O-02",174
2021,"N-02",173
2021,"M-02",173
2021,"L-02",172
2021,"K-02",172
2021,"J-01",171
2021,"I-01",171
2021,"H-01",171
2021,"G-01",171
2021,"F-01",171
2021,"H-03",166
2021,"G-03",166
2021,"F-03",167
2021,"E-03",167
2021,"D-03",168
2021,"C-03",168
2021,"B-03",168
2021,"A-03",169
2021,"A-02",169
2021,"C-02",168
2021,"D-02",167
2021,"E-02",167
2021,"F-02",166
2021,"G-02",166
2021,"H-02",166
2021,"I-02",165
2021,"I-23",188
2021,"F-23",191
2021,"G-23",191
2021,"G-24",193
2021,"H-24",190
2021,"H-23",190
2021,"JI1918",176
